R_version	name	version	date_time	hash	binary_location	status
4.4.0	ACEt	1.9.0	2024-05-05T20:10:51Z	3ec72f708d2ac82c50faf8b9518e9f27	/workspace/rst/cache_R-4.4.0/library/ACEt/1.9.0/3ec72f708d2ac82c50faf8b9518e9f27/ACEt	available
4.4.0	AER	1.2.12	2024-05-05T20:15:07Z	102f868db906e6beddede881cfee19c6	/workspace/rst/cache_R-4.4.0/library/AER/1.2-12/102f868db906e6beddede881cfee19c6/AER	available
4.4.0	AICcmodavg	2.3.3	2024-05-05T20:15:08Z	bb02ff4337835d2fe70d182b785477fa	/workspace/rst/cache_R-4.4.0/library/AICcmodavg/2.3-3/bb02ff4337835d2fe70d182b785477fa/AICcmodavg	available
4.4.0	ATACseqQC	1.28.0	2024-05-05T20:36:33Z	222f7172a4c24bc31b7799503394d05a	/workspace/rst/cache_R-4.4.0/library/ATACseqQC/1.28.0/222f7172a4c24bc31b7799503394d05a/ATACseqQC	available
4.4.0	AUC	0.3.2	2024-05-19T05:07:35Z	bbbc855e8a1c5942025d4465da27e6dc	/workspace/rst/cache_R-4.4.0/library/AUC/0.3.2/bbbc855e8a1c5942025d4465da27e6dc/AUC	available
4.4.0	AUCell	1.26.0	2024-05-05T20:15:08Z	4389d52b1024447fd50770751d960268	/workspace/rst/cache_R-4.4.0/library/AUCell/1.26.0/4389d52b1024447fd50770751d960268/AUCell	available
4.4.0	Amelia	1.8.2	2024-05-05T20:17:18Z	02d1524f25c6994e46823a380c3d32d6	/workspace/rst/cache_R-4.4.0/library/Amelia/1.8.2/02d1524f25c6994e46823a380c3d32d6/Amelia	available
4.4.0	AnnotationDbi	1.66.0	2024-05-05T20:15:09Z	223276bddad46b33042df53f70af8400	/workspace/rst/cache_R-4.4.0/library/AnnotationDbi/1.66.0/223276bddad46b33042df53f70af8400/AnnotationDbi	available
4.4.0	AnnotationFilter	1.28.0	2024-05-05T20:17:33Z	9e7e0e0616166b2281621a9f049682d0	/workspace/rst/cache_R-4.4.0/library/AnnotationFilter/1.28.0/9e7e0e0616166b2281621a9f049682d0/AnnotationFilter	available
4.4.0	AnnotationForge	1.46.0	2024-05-05T20:17:53Z	72bbe90734926761be9d354ade7ccaeb	/workspace/rst/cache_R-4.4.0/library/AnnotationForge/1.46.0/72bbe90734926761be9d354ade7ccaeb/AnnotationForge	available
4.4.0	AnnotationHub	3.12.0	2024-05-05T20:18:17Z	c3c4ec19879c652a0220f86e8ed16984	/workspace/rst/cache_R-4.4.0/library/AnnotationHub/3.12.0/c3c4ec19879c652a0220f86e8ed16984/AnnotationHub	available
4.4.0	Azimuth	0.5.0	2024-05-06T14:58:38Z	79fdffbb96f9d2e71f807b724e794cd2	/workspace/rst/cache_R-4.4.0/library/Azimuth/0.5.0/79fdffbb96f9d2e71f807b724e794cd2/Azimuth	available
4.4.0	BB	2019.10.1	2024-05-05T20:20:39Z	4d0753d858d8b9f51ad11a091c1ed8eb	/workspace/rst/cache_R-4.4.0/library/BB/2019.10-1/4d0753d858d8b9f51ad11a091c1ed8eb/BB	available
4.4.0	BBmisc	1.13	2024-05-05T20:20:56Z	b483dbe44b3bad003220be47a6f3080e	/workspace/rst/cache_R-4.4.0/library/BBmisc/1.13/b483dbe44b3bad003220be47a6f3080e/BBmisc	available
4.4.0	BH	1.84.0.0	2024-05-05T20:15:52Z	2e45b379355e15d5b0c9dffdcff5313d	/workspace/rst/cache_R-4.4.0/library/BH/1.84.0-0/2e45b379355e15d5b0c9dffdcff5313d/BH	available
4.4.0	BMisc	1.4.6	2024-05-21T05:08:35Z	c38c1127f93741d21c2dac33f62d1796	/workspace/rst/cache_R-4.4.0/library/BMisc/1.4.6/c38c1127f93741d21c2dac33f62d1796/BMisc	available
4.4.0	BPCells	0.1.0	2024-05-06T10:32:23Z	7a3cbbd7cdc2f2234608ab1dd7f0940c	/workspace/rst/cache_R-4.4.0/library/BPCells/0.1.0/7a3cbbd7cdc2f2234608ab1dd7f0940c/BPCells	available
4.4.0	BSgenome	1.72.0	2024-05-05T20:36:33Z	111f815a3dfa0cdb7c89bd1378907471	/workspace/rst/cache_R-4.4.0/library/BSgenome/1.72.0/111f815a3dfa0cdb7c89bd1378907471/BSgenome	available
4.4.0	BSgenome.Celegans.UCSC.ce10	1.4.0	2024-05-05T20:38:00Z	196f2497ff47eec25e6764bbb1956d8c	/workspace/rst/cache_R-4.4.0/library/BSgenome.Celegans.UCSC.ce10/1.4.0/196f2497ff47eec25e6764bbb1956d8c/BSgenome.Celegans.UCSC.ce10	available
4.4.0	BSgenome.Celegans.UCSC.ce11	1.4.2	2024-05-05T20:36:34Z	b940280485b98973fcffb875a385949b	/workspace/rst/cache_R-4.4.0/library/BSgenome.Celegans.UCSC.ce11/1.4.2/b940280485b98973fcffb875a385949b/BSgenome.Celegans.UCSC.ce11	available
4.4.0	BSgenome.Celegans.UCSC.ce2	1.4.0	2024-05-05T20:38:34Z	d6a41b7077811abbcc3fab859fcf84a7	/workspace/rst/cache_R-4.4.0/library/BSgenome.Celegans.UCSC.ce2/1.4.0/d6a41b7077811abbcc3fab859fcf84a7/BSgenome.Celegans.UCSC.ce2	available
4.4.0	BSgenome.Dmelanogaster.UCSC.dm3	1.4.0	2024-05-05T20:39:11Z	5e199b74b2a35b064c4cb8b68609f8c3	/workspace/rst/cache_R-4.4.0/library/BSgenome.Dmelanogaster.UCSC.dm3/1.4.0/5e199b74b2a35b064c4cb8b68609f8c3/BSgenome.Dmelanogaster.UCSC.dm3	available
4.4.0	BSgenome.Drerio.UCSC.danRer11	1.4.2	2024-05-05T20:41:26Z	78f13fd61ca306611b9f521a1409d4d4	/workspace/rst/cache_R-4.4.0/library/BSgenome.Drerio.UCSC.danRer11/1.4.2/78f13fd61ca306611b9f521a1409d4d4/BSgenome.Drerio.UCSC.danRer11	available
4.4.0	BSgenome.Drerio.UCSC.danRer7	1.4.0	2024-05-05T20:43:23Z	1d9569810f2f7070b5da7cfc7ee8d07b	/workspace/rst/cache_R-4.4.0/library/BSgenome.Drerio.UCSC.danRer7/1.4.0/1d9569810f2f7070b5da7cfc7ee8d07b/BSgenome.Drerio.UCSC.danRer7	available
4.4.0	BSgenome.Drerio.blaserlabgenotyping.dr11	0.0.0.9003	2024-05-06T11:27:20Z	584cf12452ed140f038bfd63ad4db782	/workspace/rst/cache_R-4.4.0/library/BSgenome.Drerio.blaserlabgenotyping.dr11/0.0.0.9003/584cf12452ed140f038bfd63ad4db782/BSgenome.Drerio.blaserlabgenotyping.dr11	available
4.4.0	BSgenome.Ecoli.NCBI.20080805	1.3.1000	2024-05-05T20:43:54Z	db67d952dee3a4615511f3af3372f060	/workspace/rst/cache_R-4.4.0/library/BSgenome.Ecoli.NCBI.20080805/1.3.1000/db67d952dee3a4615511f3af3372f060/BSgenome.Ecoli.NCBI.20080805	available
